Date,Year,MonthNumber,MonthName,BusinessUnit,EnergySource,RenewableFlag,EnergyConsumed_kWh,CO2Emissions_tons,WasteGenerated_kg,RecyclingPercent,Cost_USD
2024-01-01,2024,1,Jan,Manufacturing,Electricity,No,9126,4.563,1071,48.9,912.6
2024-01-01,2024,1,Jan,Manufacturing,Fuel,No,2323,1.858,794,52.6,278.76
2024-01-01,2024,1,Jan,Manufacturing,Solar,Yes,1399,0.028,729,56.1,111.92
2024-01-01,2024,1,Jan,Logistics,Fuel,No,4835,3.868,606,25.8,580.2
2024-01-01,2024,1,Jan,Logistics,Electricity,No,2562,1.281,695,14.7,256.2
2024-01-01,2024,1,Jan,Logistics,Wind,Yes,888,0.018,590,17.8,62.16
2024-01-01,2024,1,Jan,IT,Electricity,No,1966,0.983,391,58.7,196.6
2024-01-01,2024,1,Jan,IT,Solar,Yes,2007,0.04,402,74.8,160.56
2024-01-01,2024,1,Jan,IT,Wind,Yes,1009,0.02,421,70.9,70.63
2024-02-01,2024,2,Feb,Manufacturing,Electricity,No,8743,4.372,766,57.6,874.3
2024-02-01,2024,2,Feb,Manufacturing,Fuel,No,2498,1.998,778,64.8,299.76
2024-02-01,2024,2,Feb,Manufacturing,Solar,Yes,1255,0.025,1156,50.0,100.4
2024-02-01,2024,2,Feb,Logistics,Fuel,No,5516,4.413,652,20.2,661.92
2024-02-01,2024,2,Feb,Logistics,Electricity,No,3115,1.558,606,39.5,311.5
2024-02-01,2024,2,Feb,Logistics,Wind,Yes,914,0.018,571,31.4,63.98
2024-02-01,2024,2,Feb,IT,Electricity,No,2019,1.01,354,57.3,201.9
2024-02-01,2024,2,Feb,IT,Solar,Yes,2103,0.042,356,78.5,168.24
2024-02-01,2024,2,Feb,IT,Wind,Yes,1000,0.02,460,71.1,70.0
2024-03-01,2024,3,Mar,Manufacturing,Electricity,No,8802,4.401,722,54.9,880.2
2024-03-01,2024,3,Mar,Manufacturing,Fuel,No,2747,2.198,1069,57.1,329.64
2024-03-01,2024,3,Mar,Manufacturing,Solar,Yes,1242,0.025,1134,47.5,99.36
2024-03-01,2024,3,Mar,Logistics,Fuel,No,4722,3.778,562,38.8,566.64
2024-03-01,2024,3,Mar,Logistics,Electricity,No,2435,1.218,802,20.4,243.5
2024-03-01,2024,3,Mar,Logistics,Wind,Yes,931,0.019,709,32.4,65.17
2024-03-01,2024,3,Mar,IT,Electricity,No,2255,1.127,452,64.8,225.5
2024-03-01,2024,3,Mar,IT,Solar,Yes,2430,0.049,398,72.7,194.4
2024-03-01,2024,3,Mar,IT,Wind,Yes,898,0.018,305,76.6,62.86
